province,year,avg_price,med_income,price_income_ratio,ratio_index
Drenthe,2013,181850,23900,7.608786610878661,100
Drenthe,2014,185239,24700,7.499554655870446,98.56439718191018
Drenthe,2015,194566,25100,7.751633466135458,101.87739336851112
Drenthe,2016,205504,26200,7.843664122137405,103.08692467367828
Drenthe,2017,213562,27000,7.909703703703704,103.95486308414546
Drenthe,2018,228433,27400,8.336970802919708,109.57030640075945
Drenthe,2019,241941,28800,8.400729166666666,110.40826344972963
Drenthe,2020,266616,30100,8.85767441860465,116.41375782493877
Drenthe,2021,316653,31500,10.05247619047619,132.11667910496615
Drenthe,2022,355510,33300,10.675975975975977,140.31114975299747
Drenthe,2023,349757,36100,9.688559556786704,127.33383195336938
Drenthe,2024,380809,38900,9.78943444730077,128.6596003797022
Flevoland,2013,178294,24100,7.398091286307054,100
Flevoland,2014,188445,24800,7.598588709677419,102.7101236739463
Flevoland,2015,194188,25300,7.675415019762846,103.74858490823281
Flevoland,2016,204317,26600,7.68109022556391,103.82529666510945
Flevoland,2017,226753,27200,8.336507352941176,112.68456998322004
Flevoland,2018,253875,27800,9.132194244604317,123.43986970675628
Flevoland,2019,269589,29300,9.200989761092151,124.36977870389404
Flevoland,2020,301754,30600,9.86124183006536,133.29440592761125
Flevoland,2021,351576,32000,10.98675,148.5078998732431
Flevoland,2022,405900,34000,11.938235294117646,161.36912660450452
Flevoland,2023,394736,37000,10.66854054054054,144.20666260616008
Flevoland,2024,422630,39600,10.672474747474748,144.25984128133388
Fryslan,2013,169899,23000,7.386913043478261,100
Fryslan,2014,174240,23800,7.321008403361344,99.10781892613312
Fryslan,2015,180461,24200,7.457066115702479,100.94969403066352
Fryslan,2016,187950,25400,7.399606299212598,100.17183437329811
Fryslan,2017,201430,26000,7.747307692307692,104.87882619855144
Fryslan,2018,216116,26500,8.155320754716982,110.40228450932058
Fryslan,2019,230643,27800,8.296510791366906,112.31363822120132
Fryslan,2020,254223,29100,8.73618556701031,118.26571553760594
Fryslan,2021,290253,30400,9.547796052631579,129.2528556439569
Fryslan,2022,325113,32100,10.128130841121495,137.10911149906377
Fryslan,2023,323765,34800,9.303591954022988,125.94695374459455
Fryslan,2024,350624,37400,9.374973262032086,126.9132749614406
Gelderland,2013,215875,24600,8.77540650406504,100
Gelderland,2014,221921,25400,8.737047244094489,99.56287768603332
Gelderland,2015,227324,25900,8.776988416988416,100.01802666261264
Gelderland,2016,237769,27000,8.80625925925926,100.35158206266487
Gelderland,2017,255392,27800,9.186762589928058,104.68760148800474
Gelderland,2018,275915,28300,9.749646643109541,111.10193742698075
Gelderland,2019,296243,29700,9.974511784511785,113.66438443496928
Gelderland,2020,323723,31100,10.409099678456592,118.61672360858466
Gelderland,2021,379346,32500,11.672184615384616,133.0101871631553
Gelderland,2022,422110,34400,12.27063953488372,139.82987032224182
Gelderland,2023,413316,37200,11.110645161290323,126.611173580888
Gelderland,2024,446181,39900,11.18248120300752,127.42978000879442
Groningen,2013,163505,22200,7.36509009009009,100
Groningen,2014,165832,22900,7.241572052401747,98.32292563733144
Groningen,2015,171679,23200,7.399956896551724,100.47340638111879
Groningen,2016,180595,24200,7.462603305785124,101.32399216441684
Groningen,2017,195057,24800,7.865201612903226,106.790297426043
Groningen,2018,205000,25200,8.134920634920634,110.45242536634237
Groningen,2019,219283,26500,8.274830188679246,112.35205662742989
Groningen,2020,241080,27800,8.671942446043165,117.7438746840514
Groningen,2021,283578,29100,9.744948453608247,132.31268503721788
Groningen,2022,319184,30700,10.396872964169381,141.16423339014725
Groningen,2023,313679,33400,9.391586826347305,127.51489406740477
Groningen,2024,339874,35800,9.493687150837989,128.9011680062404
Limburg,2013,179427,24000,7.476125,100
Limburg,2014,186408,24700,7.546882591093118,100.94644740548236
Limburg,2015,191829,25200,7.612261904761905,101.820955438304
Limburg,2016,199165,26200,7.6017175572519085,101.67991515995129
Limburg,2017,212920,26900,7.915241635687733,105.87358605812146
Limburg,2018,229286,27300,8.398754578754579,112.34101327565523
Limburg,2019,243850,28600,8.526223776223777,114.04603021249348
Limburg,2020,263910,29800,8.856040268456375,118.45762702544937
Limburg,2021,300777,31100,9.67128617363344,129.36228559091026
Limburg,2022,330567,32800,10.078262195121951,134.8059615793202
Limburg,2023,329001,35500,9.267633802816901,123.96306646580817
Limburg,2024,357532,38100,9.384041994750657,125.52013235132715
Noord-Brabant,2013,221039,25300,8.736719367588933,100
Noord-Brabant,2014,228412,26000,8.785076923076923,100.5534978686323
Noord-Brabant,2015,235669,26600,8.859736842105264,101.40805111553308
Noord-Brabant,2016,248763,27700,8.980613718411552,102.79160106398069
Noord-Brabant,2017,268514,28500,9.421543859649123,107.83846273694814
Noord-Brabant,2018,290569,29000,10.019620689655172,114.68401659810073
Noord-Brabant,2019,310254,30500,10.172262295081968,116.43114385496396
Noord-Brabant,2020,337960,31700,10.661198738170347,122.02748296712787
Noord-Brabant,2021,385036,33200,11.597469879518073,132.74398995281703
Noord-Brabant,2022,426539,35100,12.152108262108262,139.0923497805089
Noord-Brabant,2023,418547,37900,11.043456464379947,126.40278346753861
Noord-Brabant,2024,456420,40700,11.214250614250615,128.35768373026502
Noord-Holland,2013,243147,25100,9.687131474103586,100
Noord-Holland,2014,257128,25900,9.927722007722007,102.4836096656847
Noord-Holland,2015,273911,26500,10.336264150943396,106.7009793206082
Noord-Holland,2016,301899,27700,10.898880866425992,112.50885667817921
Noord-Holland,2017,333082,28400,11.728239436619718,121.07030309202045
Noord-Holland,2018,373688,29000,12.885793103448275,133.01969874049513
Noord-Holland,2019,396601,30500,13.003311475409836,134.23283776184238
Noord-Holland,2020,424553,31700,13.392839116719243,138.25392122035353
Noord-Holland,2021,490225,33200,14.765813253012048,152.42709663314884
Noord-Holland,2022,536786,35200,15.249602272727273,157.4212377884385
Noord-Holland,2023,507271,38000,13.349236842105263,137.8038161017171
Noord-Holland,2024,544917,40600,13.421600985221675,138.5508292222664
Overijssel,2013,189733,23800,7.971974789915967,100
Overijssel,2014,197070,24500,8.043673469387755,100.89938417219386
Overijssel,2015,198713,25000,7.94852,99.70578444445614
Overijssel,2016,210683,26200,8.041335877862595,100.87006155657149
Overijssel,2017,227193,26900,8.445836431226766,105.94409357528582
Overijssel,2018,244270,27400,8.914963503649634,111.8287969867452
Overijssel,2019,260130,28800,9.032291666666667,113.30055481474845
Overijssel,2020,282983,30200,9.370298013245034,117.54048727170907
Overijssel,2021,325701,31700,10.274479495268139,128.88248854304823
Overijssel,2022,365460,33600,10.876785714285715,136.4377836222481
Overijssel,2023,365733,36400,10.04760989010989,126.03664907244146
Overijssel,2024,393428,39200,10.036428571428571,125.89639124453836
Utrecht,2013,249506,26400,9.450984848484849,100
Utrecht,2014,256282,27300,9.387619047619047,99.32953229867933
Utrecht,2015,264382,27800,9.510143884892086,100.62595631413716
Utrecht,2016,282981,29000,9.757965517241379,103.24813417519916
Utrecht,2017,316244,29900,10.576722408026756,111.91132540776829
Utrecht,2018,349404,30400,11.493552631578947,121.6122215392352
Utrecht,2019,371727,32000,11.61646875,122.91278566447299
Utrecht,2020,404811,33400,12.120089820359281,128.24155381332915
Utrecht,2021,460992,35000,13.1712,139.36325378948803
Utrecht,2022,510098,37000,13.786432432432433,145.87297147812725
Utrecht,2023,476555,39900,11.943734335839599,126.375552678559
Utrecht,2024,526771,42700,12.33655737704918,130.53197708836595
Zeeland,2013,183907,24700,7.445627530364373,100
Zeeland,2014,186748,25500,7.323450980392157,98.35908324081534
Zeeland,2015,193489,25900,7.470617760617761,100.33563632012847
Zeeland,2016,202262,26900,7.519033457249071,100.98589308403272
Zeeland,2017,213611,27500,7.7676727272727275,104.32529287283047
Zeeland,2018,220889,27900,7.917168458781362,106.33312540137115
Zeeland,2019,242998,29300,8.29344709897611,111.38681145617616
Zeeland,2020,259014,30600,8.464509803921569,113.68430356477064
Zeeland,2021,294022,32000,9.1881875,123.4038026013148
Zeeland,2022,326521,33700,9.689050445103858,130.13074325287525
Zeeland,2023,328452,36300,9.048264462809918,121.52453807163674
Zeeland,2024,345402,38800,8.902113402061856,119.56162681731954
Zuid-Holland,2013,211626,24600,8.602682926829269,100
Zuid-Holland,2014,217573,25400,8.565866141732284,99.57203136033104
Zuid-Holland,2015,221441,25800,8.58298449612403,99.77101991468493
Zuid-Holland,2016,232144,26900,8.629888475836431,100.31624493473211
Zuid-Holland,2017,254146,27600,9.2081884057971,107.0385655744609
Zuid-Holland,2018,280460,28200,9.945390070921986,115.60800456686836
Zuid-Holland,2019,305261,29600,10.312871621621621,119.8797132166614
Zuid-Holland,2020,333763,30900,10.801391585760518,125.55840634407338
Zuid-Holland,2021,384214,32299.999999999996,11.895170278637773,138.27279675204804
Zuid-Holland,2022,425469,34300,12.404344023323615,144.191575219378
Zuid-Holland,2023,410408,37100,11.062210242587602,128.59023558903678
Zuid-Holland,2024,442913,39600,11.184671717171717,130.0137621286724
