"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2018"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16806,3";"13551,8";"100";"31,5";"28,2";"32,3";"25,3"
"Groningen (PV)";"566,4";"462,2";"100";"27,3";"25,2";"28,1";"22,3"
"Fryslân (PV)";"633,1";"509,8";"100";"28,8";"26,5";"28,4";"23,1"
"Drenthe (PV)";"480,0";"390,1";"100";"29,8";"27,4";"29,6";"24,0"
"Overijssel (PV)";"1129,2";"905,9";"100";"29,8";"27,4";"29,3";"23,9"
"Flevoland (PV)";"404,4";"314,1";"100";"30,0";"27,8";"31,5";"25,7"
"Gelderland (PV)";"2014,4";"1626,8";"100";"31,0";"28,3";"31,0";"24,7"
"Utrecht (PV)";"1304,2";"1034,7";"100";"34,0";"30,4";"35,8";"28,2"
"Noord-Holland (PV)";"2770,9";"2239,9";"100";"33,6";"29,0";"35,4";"26,8"
"Zuid-Holland (PV)";"3564,3";"2832,1";"100";"31,5";"28,2";"33,4";"25,8"
"Zeeland (PV)";"374,8";"305,9";"100";"30,4";"27,9";"30,6";"24,3"
"Noord-Brabant (PV)";"2480,7";"2023,1";"100";"31,9";"29,0";"32,1";"25,3"
"Limburg (PV)";"1084,1";"907,3";"100";"29,7";"27,3";"29,8";"23,7"
"Amsterdam";"847,9";"688,7";"100";"32,2";"25,7";"36,6";"26,2"
"'s-Gravenhage (gemeente)";"513,6";"398,2";"100";"30,3";"25,7";"33,7";"24,5"
"Rotterdam";"621,4";"493,6";"100";"27,7";"23,9";"30,5";"22,9"
"Utrecht (gemeente)";"338,5";"268,9";"100";"31,1";"28,7";"35,4";"28,7"
"Bron: CBS"
