"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2014"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16454,5";"13005,8";"100";"28,9";"25,4";"29,9";"23,3"
"Groningen (PV)";"565,2";"454,4";"100";"25,1";"22,9";"26,0";"20,4"
"Fryslân (PV)";"632,6";"496,4";"100";"26,3";"23,8";"26,3";"21,3"
"Drenthe (PV)";"478,2";"378,2";"100";"27,2";"24,7";"27,6";"22,2"
"Overijssel (PV)";"1116,7";"873,0";"100";"27,3";"24,5";"27,2";"22,0"
"Flevoland (PV)";"392,4";"296,4";"100";"27,3";"24,8";"29,6";"24,0"
"Gelderland (PV)";"1975,0";"1557,6";"100";"28,6";"25,4";"28,8";"22,9"
"Utrecht (PV)";"1262,1";"983,9";"100";"31,3";"27,3";"33,1";"25,8"
"Noord-Holland (PV)";"2682,3";"2130,8";"100";"30,4";"25,9";"32,4";"24,5"
"Zuid-Holland (PV)";"3458,6";"2707,0";"100";"29,2";"25,4";"31,2";"23,8"
"Zeeland (PV)";"373,0";"298,2";"100";"28,4";"25,5";"28,7";"22,6"
"Noord-Brabant (PV)";"2430,4";"1938,4";"100";"29,3";"26,0";"29,7";"23,3"
"Limburg (PV)";"1087,8";"891,6";"100";"27,4";"24,7";"27,6";"21,7"
"Amsterdam";"805,4";"644,5";"100";"28,0";"22,2";"32,4";"23,2"
"'s-Gravenhage (gemeente)";"490,7";"377,3";"100";"27,8";"23,0";"31,3";"22,7"
"Rotterdam";"599,9";"470,7";"100";"25,0";"21,1";"28,1";"20,9"
"Utrecht (gemeente)";"320,0";"253,1";"100";"27,9";"25,0";"31,9";"25,2"
"Bron: CBS"
