"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2015"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16528,1";"13115,5";"100";"28,7";"25,9";"30,4";"23,5"
"Groningen (PV)";"566,7";"457,3";"100";"25,2";"23,2";"26,3";"20,5"
"Fryslân (PV)";"632,4";"498,6";"100";"26,2";"24,2";"26,5";"21,5"
"Drenthe (PV)";"477,8";"380,0";"100";"27,2";"25,1";"27,9";"22,4"
"Overijssel (PV)";"1118,3";"878,3";"100";"27,0";"25,0";"27,5";"22,1"
"Flevoland (PV)";"394,4";"299,3";"100";"27,4";"25,3";"29,8";"24,1"
"Gelderland (PV)";"1981,6";"1570,5";"100";"28,1";"25,9";"29,1";"23,1"
"Utrecht (PV)";"1271,6";"993,9";"100";"31,0";"27,8";"33,6";"26,1"
"Noord-Holland (PV)";"2704,3";"2155,4";"100";"30,4";"26,5";"33,1";"24,8"
"Zuid-Holland (PV)";"3482,5";"2733,5";"100";"28,9";"25,8";"31,5";"24,0"
"Zeeland (PV)";"372,9";"299,4";"100";"28,2";"25,9";"29,0";"22,8"
"Noord-Brabant (PV)";"2440,4";"1955,8";"100";"29,1";"26,6";"30,2";"23,5"
"Limburg (PV)";"1085,2";"893,6";"100";"27,4";"25,2";"28,0";"22,0"
"Amsterdam";"817,7";"656,1";"100";"28,5";"22,9";"33,5";"23,5"
"'s-Gravenhage (gemeente)";"496,9";"382,5";"100";"27,8";"23,4";"31,7";"22,7"
"Rotterdam";"605,8";"476,4";"100";"25,1";"21,5";"28,3";"20,9"
"Utrecht (gemeente)";"325,6";"257,6";"100";"28,3";"25,6";"32,5";"25,5"
"Bron: CBS"
