"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2013"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16429,5";"12951,4";"100";"27,3";"24,6";"29,4";"23,1"
"Groningen (PV)";"566,3";"453,7";"100";"24,0";"22,2";"25,6";"20,3"
"Fryslân (PV)";"633,8";"495,2";"100";"25,0";"23,0";"25,9";"21,1"
"Drenthe (PV)";"480,1";"378,4";"100";"25,9";"23,9";"27,2";"22,0"
"Overijssel (PV)";"1119,2";"872,7";"100";"25,8";"23,8";"26,8";"21,8"
"Flevoland (PV)";"391,6";"295,1";"100";"26,1";"24,1";"29,1";"23,9"
"Gelderland (PV)";"1973,9";"1551,2";"100";"27,0";"24,6";"28,4";"22,8"
"Utrecht (PV)";"1255,8";"976,8";"100";"29,5";"26,4";"32,5";"25,6"
"Noord-Holland (PV)";"2667,0";"2113,2";"100";"28,6";"25,1";"31,7";"24,4"
"Zuid-Holland (PV)";"3448,8";"2696,5";"100";"27,5";"24,6";"30,6";"23,7"
"Zeeland (PV)";"374,1";"298,0";"100";"27,1";"24,7";"28,3";"22,5"
"Noord-Brabant (PV)";"2426,5";"1928,7";"100";"27,8";"25,3";"29,3";"23,1"
"Limburg (PV)";"1091,8";"891,3";"100";"26,1";"24,0";"27,1";"21,6"
"Amsterdam";"794,3";"635,3";"100";"26,4";"21,4";"31,6";"23,0"
"'s-Gravenhage (gemeente)";"487,0";"374,7";"100";"26,3";"22,3";"30,7";"22,7"
"Rotterdam";"599,3";"470,6";"100";"23,7";"20,5";"27,5";"20,7"
"Utrecht (gemeente)";"314,0";"248,8";"100";"26,7";"24,1";"31,3";"25,0"
"Bron: CBS"
