"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2020"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"17018,5";"13805,8";"100";"34,5";"31,0";"34,3";"27,2"
"Groningen (PV)";"567,7";"466,2";"100";"29,9";"27,8";"29,9";"24,1"
"Fryslân (PV)";"635,8";"516,3";"100";"31,3";"29,1";"30,1";"24,8"
"Drenthe (PV)";"482,2";"395,7";"100";"32,5";"30,1";"31,4";"25,7"
"Overijssel (PV)";"1138,8";"922,0";"100";"32,9";"30,2";"31,2";"25,7"
"Flevoland (PV)";"415,2";"324,6";"100";"32,9";"30,6";"33,4";"27,7"
"Gelderland (PV)";"2038,3";"1659,1";"100";"34,0";"31,1";"32,9";"26,6"
"Utrecht (PV)";"1328,6";"1060,0";"100";"37,2";"33,4";"38,1";"30,3"
"Noord-Holland (PV)";"2816,4";"2286,6";"100";"36,8";"31,7";"37,7";"28,6"
"Zuid-Holland (PV)";"3622,6";"2891,7";"100";"34,6";"30,9";"35,4";"27,7"
"Zeeland (PV)";"376,3";"309,0";"100";"33,3";"30,6";"32,3";"26,0"
"Noord-Brabant (PV)";"2512,8";"2062,6";"100";"34,9";"31,7";"34,1";"27,2"
"Limburg (PV)";"1083,9";"911,9";"100";"32,4";"29,8";"31,5";"25,3"
"Amsterdam";"864,6";"705,6";"100";"35,8";"28,4";"39,7";"28,3"
"'s-Gravenhage (gemeente)";"525,9";"409,5";"100";"33,2";"28,4";"35,7";"26,5"
"Rotterdam";"631,8";"504,1";"100";"30,6";"26,5";"32,7";"24,9"
"Utrecht (gemeente)";"348,7";"277,8";"100";"34,5";"32,1";"38,4";"31,9"
"Bron: CBS"
