"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2016"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16595,2";"13225,4";"100";"30,0";"27,0";"31,0";"24,0"
"Groningen (PV)";"565,7";"457,7";"100";"26,2";"24,2";"26,9";"21,0"
"Fryslân (PV)";"631,8";"500,9";"100";"27,4";"25,4";"27,2";"21,9"
"Drenthe (PV)";"477,1";"381,9";"100";"28,4";"26,2";"28,6";"22,8"
"Overijssel (PV)";"1120,7";"885,4";"100";"28,4";"26,2";"28,1";"22,7"
"Flevoland (PV)";"396,4";"303,0";"100";"28,7";"26,6";"30,4";"24,6"
"Gelderland (PV)";"1987,9";"1583,8";"100";"29,5";"27,0";"29,7";"23,5"
"Utrecht (PV)";"1281,6";"1005,3";"100";"32,4";"29,0";"34,3";"26,7"
"Noord-Holland (PV)";"2725,5";"2181,4";"100";"31,7";"27,7";"33,8";"25,3"
"Zuid-Holland (PV)";"3503,1";"2755,6";"100";"30,0";"26,9";"32,1";"24,4"
"Zeeland (PV)";"373,3";"301,1";"100";"29,3";"26,9";"29,4";"23,2"
"Noord-Brabant (PV)";"2449,4";"1973,1";"100";"30,4";"27,7";"30,8";"24,0"
"Limburg (PV)";"1082,7";"896,2";"100";"28,5";"26,2";"28,5";"22,5"
"Amsterdam";"828,8";"667,3";"100";"29,8";"24,1";"34,2";"24,2"
"'s-Gravenhage (gemeente)";"501,6";"386,1";"100";"28,9";"24,3";"32,3";"23,1"
"Rotterdam";"611,1";"481,1";"100";"26,1";"22,4";"28,9";"21,4"
"Utrecht (gemeente)";"330,4";"261,2";"100";"29,5";"27,0";"33,3";"26,4"
"Bron: CBS"
