"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2017"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16707,3";"13396,7";"100";"31,1";"27,8";"32,0";"24,6"
"Groningen (PV)";"566,3";"460,2";"100";"27,0";"24,8";"27,6";"21,6"
"Fryslân (PV)";"632,8";"505,7";"100";"28,3";"26,0";"27,8";"22,4"
"Drenthe (PV)";"478,9";"386,5";"100";"29,5";"27,0";"29,3";"23,3"
"Overijssel (PV)";"1125,8";"895,9";"100";"29,4";"26,9";"29,0";"23,3"
"Flevoland (PV)";"400,3";"308,6";"100";"29,5";"27,2";"31,0";"25,0"
"Gelderland (PV)";"2002,6";"1606,9";"100";"30,7";"27,8";"30,7";"24,1"
"Utrecht (PV)";"1293,0";"1019,9";"100";"33,6";"29,9";"35,5";"27,3"
"Noord-Holland (PV)";"2749,3";"2211,5";"100";"33,0";"28,4";"35,1";"25,9"
"Zuid-Holland (PV)";"3532,9";"2794,1";"100";"31,2";"27,6";"33,2";"25,0"
"Zeeland (PV)";"374,1";"303,8";"100";"30,2";"27,5";"30,4";"23,7"
"Noord-Brabant (PV)";"2466,4";"2000,0";"100";"31,6";"28,5";"31,9";"24,6"
"Limburg (PV)";"1084,8";"903,6";"100";"29,5";"26,9";"29,4";"23,0"
"Amsterdam";"838,3";"678,2";"100";"31,1";"24,9";"35,7";"25,0"
"'s-Gravenhage (gemeente)";"506,3";"391,2";"100";"30,0";"25,2";"33,4";"23,8"
"Rotterdam";"616,5";"487,6";"100";"27,2";"23,2";"29,9";"21,9"
"Utrecht (gemeente)";"334,1";"264,7";"100";"30,4";"27,8";"34,3";"27,4"
"Bron: CBS"
