"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2022"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"17203,8";"14179,3";"100";"38,2";"34,3";"37,4";"29,7"
"Groningen (PV)";"571,5";"479,2";"100";"33,1";"30,7";"32,4";"26,4"
"Fryslân (PV)";"639,8";"528,4";"100";"34,7";"32,1";"32,6";"27,1"
"Drenthe (PV)";"485,7";"404,4";"100";"36,0";"33,3";"34,1";"28,2"
"Overijssel (PV)";"1148,0";"947,0";"100";"36,5";"33,6";"34,0";"28,3"
"Flevoland (PV)";"427,0";"339,2";"100";"36,6";"34,0";"36,5";"30,5"
"Gelderland (PV)";"2062,7";"1706,5";"100";"37,7";"34,4";"35,8";"29,1"
"Utrecht (PV)";"1344,1";"1090,9";"100";"41,4";"37,0";"41,3";"33,0"
"Noord-Holland (PV)";"2845,8";"2344,9";"100";"41,1";"35,2";"41,4";"31,3"
"Zuid-Holland (PV)";"3670,0";"2978,5";"100";"38,3";"34,3";"38,4";"30,3"
"Zeeland (PV)";"379,5";"316,0";"100";"36,8";"33,7";"35,1";"28,4"
"Noord-Brabant (PV)";"2542,3";"2118,5";"100";"38,7";"35,1";"37,1";"29,9"
"Limburg (PV)";"1087,4";"925,8";"100";"35,6";"32,8";"34,2";"27,6"
"Amsterdam";"874,9";"727,0";"100";"40,5";"32,0";"44,0";"31,4"
"'s-Gravenhage (gemeente)";"533,6";"425,3";"100";"36,7";"31,6";"38,7";"29,0"
"Rotterdam";"637,1";"517,7";"100";"34,2";"29,7";"35,9";"27,5"
"Utrecht (gemeente)";"353,8";"287,7";"100";"39,0";"36,0";"41,9";"34,7"
"Bron: CBS"
