"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2023"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"17398,2";"14371,0";"100";"43,2";"37,1";"39,7";"32,0"
"Groningen (PV)";"575,9";"483,3";"100";"36,3";"33,4";"34,6";"28,6"
"Fryslân (PV)";"644,7";"533,9";"100";"38,2";"34,8";"34,6";"29,1"
"Drenthe (PV)";"489,7";"409,2";"100";"39,8";"36,1";"36,2";"30,3"
"Overijssel (PV)";"1159,1";"959,1";"100";"41,1";"36,4";"36,1";"30,4"
"Flevoland (PV)";"436,1";"347,1";"100";"40,3";"37,0";"39,1";"32,8"
"Gelderland (PV)";"2083,4";"1728,6";"100";"42,3";"37,2";"38,0";"31,4"
"Utrecht (PV)";"1360,2";"1108,3";"100";"46,8";"39,9";"43,7";"35,4"
"Noord-Holland (PV)";"2884,0";"2379,6";"100";"47,1";"38,0";"43,9";"33,7"
"Zuid-Holland (PV)";"3714,6";"3020,9";"100";"43,3";"37,1";"40,8";"32,6"
"Zeeland (PV)";"383,2";"318,9";"100";"41,2";"36,3";"37,4";"30,5"
"Noord-Brabant (PV)";"2571,8";"2148,5";"100";"43,9";"37,9";"39,4";"32,2"
"Limburg (PV)";"1095,5";"933,6";"100";"39,5";"35,5";"36,4";"29,8"
"Amsterdam";"887,7";"737,6";"100";"46,2";"34,7";"46,7";"34,0"
"'s-Gravenhage (gemeente)";"541,9";"433,3";"100";"41,2";"34,3";"41,4";"31,4"
"Rotterdam";"643,4";"522,8";"100";"38,5";"32,3";"38,3";"29,8"
"Utrecht (gemeente)";"359,4";"293,3";"100";"43,1";"38,8";"44,5";"37,2"
"Bron: CBS"
