"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2019"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"16909,9";"13702,3";"100";"33,9";"29,7";"33,4";"26,3"
"Groningen (PV)";"567,0";"465,1";"100";"28,9";"26,5";"29,0";"23,2"
"Fryslân (PV)";"634,3";"513,7";"100";"30,6";"27,8";"29,2";"24,0"
"Drenthe (PV)";"481,1";"393,3";"100";"31,5";"28,8";"30,5";"24,9"
"Overijssel (PV)";"1134,0";"915,5";"100";"32,0";"28,8";"30,2";"24,8"
"Flevoland (PV)";"409,6";"319,9";"100";"32,0";"29,3";"32,5";"26,8"
"Gelderland (PV)";"2026,9";"1646,8";"100";"33,5";"29,7";"32,0";"25,7"
"Utrecht (PV)";"1316,0";"1049,6";"100";"36,7";"32,0";"36,9";"29,2"
"Noord-Holland (PV)";"2793,2";"2267,2";"100";"36,4";"30,5";"36,7";"27,8"
"Zuid-Holland (PV)";"3591,1";"2864,8";"100";"34,1";"29,6";"34,5";"26,8"
"Zeeland (PV)";"376,0";"308,3";"100";"32,6";"29,3";"31,5";"25,1"
"Noord-Brabant (PV)";"2496,7";"2046,6";"100";"34,5";"30,5";"33,2";"26,3"
"Limburg (PV)";"1084,1";"911,4";"100";"31,8";"28,6";"30,7";"24,6"
"Amsterdam";"856,0";"697,9";"100";"35,1";"27,3";"38,4";"27,5"
"'s-Gravenhage (gemeente)";"519,0";"403,7";"100";"32,5";"27,2";"34,9";"25,6"
"Rotterdam";"626,4";"499,1";"100";"30,0";"25,3";"31,6";"24,0"
"Utrecht (gemeente)";"343,9";"274,2";"100";"33,4";"30,3";"36,7";"30,2"
"Bron: CBS"
